Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
MOGAT,SMOTE,CIC,Gene,0.022813411078717184,0.9182215743440233
MOGAT,SMOTE,MUC16,Gene,-0.0023032069970845724,0.9182215743440233
MOGAT,SMOTE,PIK3CA,Gene,0.009562682215743402,0.9182215743440233
MOGAT,SMOTE,NF1,Gene,-0.003119533527696827,0.9182215743440233
MOGAT,SMOTE,PIK3R1,Gene,0.0036443148688046546,0.9182215743440233
MOGAT,SMOTE,FUBP1,Gene,0.005131195335276895,0.9182215743440233
MOGAT,SMOTE,RB1,Gene,-0.0001457725947522248,0.9182215743440233
MOGAT,SMOTE,NOTCH1,Gene,0.020728862973760854,0.9182215743440233
MOGAT,SMOTE,BCOR,Gene,-0.002040816326530659,0.9182215743440233
MOGAT,SMOTE,CSMD3,Gene,8.746355685129714e-05,0.9182215743440233
MOGAT,SMOTE,SMARCA4,Gene,0.004387755102040769,0.9182215743440233
MOGAT,SMOTE,GRIN2A,Gene,0.0016034985422740179,0.9182215743440233
MOGAT,SMOTE,IDH2,Gene,0.006545189504373139,0.9182215743440233
MOGAT,SMOTE,FAT4,Gene,-0.0007434402332362033,0.9182215743440233
MOGAT,SMOTE,PDGFRA,Gene,-0.0005830903790087661,0.9182215743440233
MOGAT,SMOTE,Age_at_diagnosis,Clinical,0.030189504373177835,0.9182215743440233
MOGAT,SMOTE,Gender,Clinical,0.0012390670553935502,0.9182215743440233
MOGAT,SMOTE,Race,Clinical,0.0020699708454810285,0.9182215743440233
MOGAT,CTGAN,IDH1,Gene,0.15844023323615164,0.8997084548104957
MOGAT,CTGAN,TP53,Gene,0.005379008746355695,0.8997084548104957
MOGAT,CTGAN,ATRX,Gene,0.018411078717201178,0.8997084548104957
MOGAT,CTGAN,PTEN,Gene,0.02524781341107877,0.8997084548104957
MOGAT,CTGAN,EGFR,Gene,0.006574344023323642,0.8997084548104957
MOGAT,CTGAN,CIC,Gene,0.012346938775510219,0.8997084548104957
MOGAT,CTGAN,MUC16,Gene,0.0029883381924198592,0.8997084548104957
MOGAT,CTGAN,PIK3CA,Gene,0.011822157434402358,0.8997084548104957
MOGAT,CTGAN,NF1,Gene,-0.002230320699708399,0.8997084548104957
MOGAT,CTGAN,PIK3R1,Gene,0.001297376093294489,0.8997084548104957
MOGAT,CTGAN,FUBP1,Gene,0.0013848396501458305,0.8997084548104957
MOGAT,CTGAN,RB1,Gene,0.004183673469387794,0.8997084548104957
MOGAT,CTGAN,NOTCH1,Gene,0.002201166180758074,0.8997084548104957
MOGAT,CTGAN,BCOR,Gene,0.00023323615160355526,0.8997084548104957
MOGAT,CTGAN,CSMD3,Gene,0.0012682215743440861,0.8997084548104957
MOGAT,CTGAN,SMARCA4,Gene,-0.0010204081632652628,0.8997084548104957
MOGAT,CTGAN,GRIN2A,Gene,0.004329446064139963,0.8997084548104957
MOGAT,CTGAN,IDH2,Gene,0.003935860058309082,0.8997084548104957
MOGAT,CTGAN,FAT4,Gene,0.00037900874635570235,0.8997084548104957
MOGAT,CTGAN,PDGFRA,Gene,-0.00061224489795918,0.8997084548104957
MOGAT,CTGAN,Age_at_diagnosis,Clinical,0.058090379008746376,0.8997084548104957
MOGAT,CTGAN,Gender,Clinical,-0.005379008746355685,0.8997084548104957
MOGAT,CTGAN,Race,Clinical,0.0011953352769679237,0.8997084548104957
HyperTMO,No Balancing,IDH1,Gene,0.019023323615160303,0.8587463556851311
HyperTMO,No Balancing,TP53,Gene,-0.004227405247813498,0.8587463556851311
HyperTMO,No Balancing,ATRX,Gene,0.0031049562682214926,0.8587463556851311
HyperTMO,No Balancing,PTEN,Gene,0.0036588921282798116,0.8587463556851311
HyperTMO,No Balancing,EGFR,Gene,0.003513119533527664,0.8587463556851311
HyperTMO,No Balancing,CIC,Gene,0.010247813411078655,0.8587463556851311
HyperTMO,No Balancing,MUC16,Gene,-0.0044314868804665505,0.8587463556851311
HyperTMO,No Balancing,PIK3CA,Gene,-0.008454810495626897,0.8587463556851311
HyperTMO,No Balancing,NF1,Gene,-0.0028279883381924996,0.8587463556851311
HyperTMO,No Balancing,PIK3R1,Gene,0.003644314868804599,0.8587463556851311
HyperTMO,No Balancing,FUBP1,Gene,0.0035131195335276312,0.8587463556851311
HyperTMO,No Balancing,RB1,Gene,-0.002274052478134203,0.8587463556851311
HyperTMO,No Balancing,NOTCH1,Gene,0.003425655976676323,0.8587463556851311
HyperTMO,No Balancing,BCOR,Gene,0.00021865889212819846,0.8587463556851311
HyperTMO,No Balancing,CSMD3,Gene,0.0005247813411078051,0.8587463556851311
HyperTMO,No Balancing,SMARCA4,Gene,0.0019241982507288036,0.8587463556851311
HyperTMO,No Balancing,GRIN2A,Gene,0.000466472303206944,0.8587463556851311
HyperTMO,No Balancing,IDH2,Gene,0.005655976676384777,0.8587463556851311
HyperTMO,No Balancing,FAT4,Gene,0.0001311953352768902,0.8587463556851311
HyperTMO,No Balancing,PDGFRA,Gene,0.0012827988338191543,0.8587463556851311
HyperTMO,No Balancing,Age_at_diagnosis,Clinical,0.32387755102040805,0.8587463556851311
HyperTMO,No Balancing,Gender,Clinical,0.005874635568513076,0.8587463556851311
HyperTMO,No Balancing,Race,Clinical,0.009198250728862933,0.8587463556851311
HyperTMO,SMOTE,IDH1,Gene,0.005043731778425686,0.8208454810495627
HyperTMO,SMOTE,TP53,Gene,-0.0015451895043731346,0.8208454810495627
HyperTMO,SMOTE,ATRX,Gene,-0.000276967930029115,0.8208454810495627
HyperTMO,SMOTE,PTEN,Gene,-0.0008309037900874449,0.8208454810495627
HyperTMO,SMOTE,EGFR,Gene,0.0014139941690962444,0.8208454810495627
HyperTMO,SMOTE,CIC,Gene,0.0003790087463557246,0.8208454810495627
HyperTMO,SMOTE,MUC16,Gene,-0.0013556851311952833,0.8208454810495627
HyperTMO,SMOTE,PIK3CA,Gene,-0.0057142857142856605,0.8208454810495627
HyperTMO,SMOTE,NF1,Gene,-0.001793002915451858,0.8208454810495627
HyperTMO,SMOTE,PIK3R1,Gene,0.003192419825072923,0.8208454810495627
HyperTMO,SMOTE,FUBP1,Gene,0.001326530612244925,0.8208454810495627
HyperTMO,SMOTE,RB1,Gene,-0.002361516034985356,0.8208454810495627
HyperTMO,SMOTE,NOTCH1,Gene,-0.00027696793002913723,0.8208454810495627
HyperTMO,SMOTE,BCOR,Gene,-0.002215743440233231,0.8208454810495627
HyperTMO,SMOTE,CSMD3,Gene,-0.0012244897959183155,0.8208454810495627
HyperTMO,SMOTE,SMARCA4,Gene,0.00030612244897961773,0.8208454810495627
HyperTMO,SMOTE,GRIN2A,Gene,-0.0013119533527696347,0.8208454810495627
HyperTMO,SMOTE,IDH2,Gene,0.0007434402332362033,0.8208454810495627
HyperTMO,SMOTE,FAT4,Gene,4.3731778425681876e-05,0.8208454810495627
HyperTMO,SMOTE,PDGFRA,Gene,-0.0011953352769678905,0.8208454810495627
HyperTMO,SMOTE,Age_at_diagnosis,Clinical,0.30513119533527694,0.8208454810495627
HyperTMO,SMOTE,Gender,Clinical,-0.0029154518950437304,0.8208454810495627
HyperTMO,SMOTE,Race,Clinical,-0.0005393586005830508,0.8208454810495627
HyperTMO,CTGAN,IDH1,Gene,0.008731778425655912,0.8110787172011661
HyperTMO,CTGAN,TP53,Gene,-0.00039358600583093705,0.8110787172011661
HyperTMO,CTGAN,ATRX,Gene,0.0008746355685130602,0.8110787172011661
HyperTMO,CTGAN,PTEN,Gene,0.0005685131195334869,0.8110787172011661
HyperTMO,CTGAN,EGFR,Gene,4.3731778425615266e-05,0.8110787172011661
HyperTMO,CTGAN,CIC,Gene,-0.0001603498542274373,0.8110787172011661
HyperTMO,CTGAN,MUC16,Gene,-0.0013848396501458637,0.8110787172011661
HyperTMO,CTGAN,PIK3CA,Gene,-0.0025947521865889557,0.8110787172011661
HyperTMO,CTGAN,NF1,Gene,-0.0019387755102041938,0.8110787172011661
HyperTMO,CTGAN,PIK3R1,Gene,0.0031924198250728565,0.8110787172011661
HyperTMO,CTGAN,FUBP1,Gene,0.0005830903790086883,0.8110787172011661
HyperTMO,CTGAN,RB1,Gene,-0.0016618075801749898,0.8110787172011661
HyperTMO,CTGAN,NOTCH1,Gene,-0.00037900874635575786,0.8110787172011661
HyperTMO,CTGAN,BCOR,Gene,-0.003469387755102116,0.8110787172011661
HyperTMO,CTGAN,CSMD3,Gene,-0.0004373177842565856,0.8110787172011661
HyperTMO,CTGAN,SMARCA4,Gene,-7.288629737612906e-05,0.8110787172011661
HyperTMO,CTGAN,GRIN2A,Gene,-0.00016034985422742621,0.8110787172011661
HyperTMO,CTGAN,IDH2,Gene,-0.00014577259475228032,0.8110787172011661
HyperTMO,CTGAN,FAT4,Gene,-8.746355685135265e-05,0.8110787172011661
HyperTMO,CTGAN,PDGFRA,Gene,0.0005976676384839341,0.8110787172011661
HyperTMO,CTGAN,Age_at_diagnosis,Clinical,0.28052478134110775,0.8110787172011661
HyperTMO,CTGAN,Gender,Clinical,0.014825072886297263,0.8110787172011661
HyperTMO,CTGAN,Race,Clinical,0.009037900874635518,0.8110787172011661
RGCN,No Balancing,IDH1,Gene,0.0449562682215743,0.8749271137026239
RGCN,No Balancing,TP53,Gene,0.0003644314868804455,0.8749271137026239
RGCN,No Balancing,ATRX,Gene,0.0028425655976676125,0.8749271137026239
RGCN,No Balancing,PTEN,Gene,0.01965014577259473,0.8749271137026239
RGCN,No Balancing,EGFR,Gene,0.017390670553935804,0.8749271137026239
RGCN,No Balancing,CIC,Gene,0.034387755102040764,0.8749271137026239
RGCN,No Balancing,MUC16,Gene,0.011749271137026184,0.8749271137026239
RGCN,No Balancing,PIK3CA,Gene,0.010510204081632613,0.8749271137026239
RGCN,No Balancing,NF1,Gene,-0.00322157434402337,0.8749271137026239
RGCN,No Balancing,PIK3R1,Gene,0.002099125364431431,0.8749271137026239
RGCN,No Balancing,FUBP1,Gene,0.01110787172011658,0.8749271137026239
RGCN,No Balancing,RB1,Gene,0.0018221574344023162,0.8749271137026239
RGCN,No Balancing,NOTCH1,Gene,0.01666180758017489,0.8749271137026239
RGCN,No Balancing,BCOR,Gene,0.010276967930029145,0.8749271137026239
RGCN,No Balancing,CSMD3,Gene,0.0029008746355684957,0.8749271137026239
RGCN,No Balancing,SMARCA4,Gene,0.006632653061224491,0.8749271137026239
RGCN,No Balancing,GRIN2A,Gene,0.0007725947521865728,0.8749271137026239
RGCN,No Balancing,IDH2,Gene,0.003294460641399355,0.8749271137026239
RGCN,No Balancing,FAT4,Gene,0.0019387755102040604,0.8749271137026239
RGCN,No Balancing,PDGFRA,Gene,0.006632653061224447,0.8749271137026239
RGCN,No Balancing,Age_at_diagnosis,Clinical,0.0733236151603498,0.8749271137026239
RGCN,No Balancing,Gender,Clinical,0.009708454810495593,0.8749271137026239
RGCN,No Balancing,Race,Clinical,0.009956268221574315,0.8749271137026239
RGCN,SMOTE,IDH1,Gene,0.029810495626822066,0.8317784256559766
RGCN,SMOTE,TP53,Gene,-0.005000000000000049,0.8317784256559766
RGCN,SMOTE,ATRX,Gene,0.014052478134110712,0.8317784256559766
RGCN,SMOTE,PTEN,Gene,0.029416909620991118,0.8317784256559766
RGCN,SMOTE,EGFR,Gene,0.04781341107871714,0.8317784256559766
RGCN,SMOTE,CIC,Gene,0.022682215743440138,0.8317784256559766
RGCN,SMOTE,MUC16,Gene,0.0048104956268220644,0.8317784256559766
RGCN,SMOTE,PIK3CA,Gene,0.009664723032069866,0.8317784256559766
RGCN,SMOTE,NF1,Gene,0.007448979591836669,0.8317784256559766
RGCN,SMOTE,PIK3R1,Gene,-0.0014285714285715346,0.8317784256559766
RGCN,SMOTE,FUBP1,Gene,0.004110787172011565,0.8317784256559766
RGCN,SMOTE,RB1,Gene,0.007055393586005732,0.8317784256559766
RGCN,SMOTE,NOTCH1,Gene,0.025291545189504282,0.8317784256559766
RGCN,SMOTE,BCOR,Gene,0.010437317784256462,0.8317784256559766
RGCN,SMOTE,CSMD3,Gene,0.007142857142857051,0.8317784256559766
RGCN,SMOTE,SMARCA4,Gene,0.012609329446064067,0.8317784256559766
RGCN,SMOTE,GRIN2A,Gene,0.003950437317784161,0.8317784256559766
RGCN,SMOTE,IDH2,Gene,0.005335276967929947,0.8317784256559766
RGCN,SMOTE,FAT4,Gene,0.0008017492711369312,0.8317784256559766
RGCN,SMOTE,PDGFRA,Gene,0.000553935860058219,0.8317784256559766
RGCN,SMOTE,Age_at_diagnosis,Clinical,0.1220116618075801,0.8317784256559766
RGCN,SMOTE,Gender,Clinical,-0.0013994169096210873,0.8317784256559766
RGCN,SMOTE,Race,Clinical,0.007813411078717114,0.8317784256559766
RGCN,CTGAN,IDH1,Gene,0.020597667638483863,0.8690962099125363
RGCN,CTGAN,TP53,Gene,-0.0001603498542274928,0.8690962099125363
RGCN,CTGAN,ATRX,Gene,0.010335276967929918,0.8690962099125363
RGCN,CTGAN,PTEN,Gene,0.014781341107871571,0.8690962099125363
RGCN,CTGAN,EGFR,Gene,-6.661338147750939e-17,0.8690962099125363
RGCN,CTGAN,CIC,Gene,0.016428571428571303,0.8690962099125363
RGCN,CTGAN,MUC16,Gene,0.0096793002915451,0.8690962099125363
RGCN,CTGAN,PIK3CA,Gene,-0.0027551020408164593,0.8690962099125363
RGCN,CTGAN,NF1,Gene,0.0013265306122447694,0.8690962099125363
RGCN,CTGAN,PIK3R1,Gene,0.0036734693877549796,0.8690962099125363
RGCN,CTGAN,FUBP1,Gene,0.002157434402332281,0.8690962099125363
RGCN,CTGAN,RB1,Gene,0.007274052478134019,0.8690962099125363
RGCN,CTGAN,NOTCH1,Gene,0.009868804664722952,0.8690962099125363
RGCN,CTGAN,BCOR,Gene,0.0062827988338191474,0.8690962099125363
RGCN,CTGAN,CSMD3,Gene,0.000845481049562602,0.8690962099125363
RGCN,CTGAN,SMARCA4,Gene,0.004154518950437181,0.8690962099125363
RGCN,CTGAN,GRIN2A,Gene,0.001574344023323504,0.8690962099125363
RGCN,CTGAN,IDH2,Gene,0.008819241982507197,0.8690962099125363
RGCN,CTGAN,FAT4,Gene,0.006224489795918253,0.8690962099125363
RGCN,CTGAN,PDGFRA,Gene,0.002084548104956163,0.8690962099125363
RGCN,CTGAN,Age_at_diagnosis,Clinical,0.14224489795918357,0.8690962099125363
RGCN,CTGAN,Gender,Clinical,0.005437317784256479,0.8690962099125363
RGCN,CTGAN,Race,Clinical,0.0011370262390669405,0.8690962099125363
VEGN,No Balancing,IDH1,Gene,0.21454810495626822,0.9212827988338192
VEGN,No Balancing,TP53,Gene,0.013862973760932928,0.9212827988338192
VEGN,No Balancing,ATRX,Gene,0.019999999999999983,0.9212827988338192
VEGN,No Balancing,PTEN,Gene,0.008411078717201138,0.9212827988338192
VEGN,No Balancing,EGFR,Gene,0.009285714285714286,0.9212827988338192
VEGN,No Balancing,CIC,Gene,0.012769679300291525,0.9212827988338192
VEGN,No Balancing,MUC16,Gene,-0.0012536443148687515,0.9212827988338192
VEGN,No Balancing,PIK3CA,Gene,0.011822157434402347,0.9212827988338192
VEGN,No Balancing,NF1,Gene,-0.0034985422740524963,0.9212827988338192
VEGN,No Balancing,PIK3R1,Gene,0.0005102040816326592,0.9212827988338192
VEGN,No Balancing,FUBP1,Gene,0.0050437317784256305,0.9212827988338192
VEGN,No Balancing,RB1,Gene,0.00179300291545188,0.9212827988338192
VEGN,No Balancing,NOTCH1,Gene,0.010014577259475221,0.9212827988338192
VEGN,No Balancing,BCOR,Gene,-0.0023906705539358695,0.9212827988338192
VEGN,No Balancing,CSMD3,Gene,0.0013265306122448805,0.9212827988338192
VEGN,No Balancing,SMARCA4,Gene,0.004387755102040825,0.9212827988338192
VEGN,No Balancing,GRIN2A,Gene,0.002565597667638475,0.9212827988338192
VEGN,No Balancing,IDH2,Gene,0.002390670553935881,0.9212827988338192
VEGN,No Balancing,FAT4,Gene,0.00013119533527697902,0.9212827988338192
VEGN,No Balancing,PDGFRA,Gene,0.0002623906705539358,0.9212827988338192
VEGN,No Balancing,Age_at_diagnosis,Clinical,0.0438338192419825,0.9212827988338192
VEGN,No Balancing,Gender,Clinical,2.9154518950413877e-05,0.9212827988338192
VEGN,No Balancing,Race,Clinical,0.0027988338192419526,0.9212827988338192
VEGN,SMOTE,IDH1,Gene,0.23947521865889207,0.9093294460641399
VEGN,SMOTE,TP53,Gene,0.0019970845481048884,0.9093294460641399
VEGN,SMOTE,ATRX,Gene,0.012026239067055333,0.9093294460641399
VEGN,SMOTE,PTEN,Gene,0.006720116618075744,0.9093294460641399
VEGN,SMOTE,EGFR,Gene,0.009489795918367272,0.9093294460641399
VEGN,SMOTE,CIC,Gene,0.0036880466472302585,0.9093294460641399
VEGN,SMOTE,MUC16,Gene,-0.0009620991253644795,0.9093294460641399
VEGN,SMOTE,PIK3CA,Gene,0.0039795918367346635,0.9093294460641399
VEGN,SMOTE,NF1,Gene,-0.002069970845481062,0.9093294460641399
VEGN,SMOTE,PIK3R1,Gene,0.0022740524781340475,0.9093294460641399
VEGN,SMOTE,FUBP1,Gene,0.004227405247813365,0.9093294460641399
VEGN,SMOTE,RB1,Gene,0.004081632653061162,0.9093294460641399
VEGN,SMOTE,NOTCH1,Gene,0.01634110787172005,0.9093294460641399
VEGN,SMOTE,BCOR,Gene,-0.003134110787172051,0.9093294460641399
