auc,accuracy,precision,recall,recall_0,f1,fold,threshold,Model,Pipeline
0.9100274725274725,0.8880597014925373,0.8727272727272727,0.8571428571428571,0.9102564102564102,0.8648648648648649,2,0.5600000000000003,VEGN,SMOTE
0.9006410256410257,0.835820895522388,0.7428571428571429,0.9285714285714286,0.7692307692307693,0.8253968253968254,3,0.4500000000000001,VEGN,SMOTE
0.9514652014652014,0.8955223880597015,0.8387096774193549,0.9285714285714286,0.8717948717948718,0.8813559322033898,4,0.5500000000000003,VEGN,SMOTE
0.9266347687400319,0.8656716417910447,0.7746478873239436,0.9649122807017544,0.7922077922077922,0.859375,5,0.48000000000000015,VEGN,SMOTE
0.9246513720197931,0.8888888888888888,0.8387096774193549,0.9122807017543859,0.8717948717948718,0.8739495798319328,1,0.49000000000000016,FastHGTConv,SMOTE
0.930631868131868,0.9029850746268657,0.8771929824561403,0.8928571428571429,0.9102564102564102,0.8849557522123894,2,0.5000000000000002,FastHGTConv,SMOTE
0.9118589743589743,0.8656716417910447,0.8392857142857143,0.8392857142857143,0.8846153846153846,0.8392857142857143,3,0.5900000000000003,FastHGTConv,SMOTE
0.9461996336996337,0.8955223880597015,0.828125,0.9464285714285714,0.8589743589743589,0.8833333333333333,4,0.5800000000000003,FastHGTConv,SMOTE
0.9314194577352473,0.8805970149253731,0.8059701492537313,0.9473684210526315,0.8311688311688312,0.8709677419354839,5,0.5000000000000002,FastHGTConv,SMOTE
0.8317588843904633,0.762962962962963,0.711864406779661,0.7368421052631579,0.782051282051282,0.7241379310344828,1,0.5500000000000003,SGNN,SMOTE
0.9235347985347986,0.8731343283582089,0.819672131147541,0.8928571428571429,0.8589743589743589,0.8547008547008547,2,0.5400000000000003,SGNN,SMOTE
0.8578296703296704,0.8283582089552238,0.8113207547169812,0.7678571428571429,0.8717948717948718,0.7889908256880734,3,0.5800000000000003,SGNN,SMOTE
0.9022435897435898,0.8656716417910447,0.8064516129032258,0.8928571428571429,0.8461538461538461,0.847457627118644,4,0.5000000000000002,SGNN,SMOTE
0.9059011164274322,0.8582089552238806,0.8166666666666667,0.8596491228070176,0.8571428571428571,0.8376068376068376,5,0.5700000000000003,SGNN,SMOTE
0.9140800719748088,0.8814814814814815,0.8360655737704918,0.8947368421052632,0.8717948717948718,0.864406779661017,1,0.48000000000000015,CrossAttnGNN,SMOTE
0.9297161172161172,0.8955223880597015,0.875,0.875,0.9102564102564102,0.875,2,0.6100000000000003,CrossAttnGNN,SMOTE
0.9006410256410255,0.8731343283582089,0.8421052631578947,0.8571428571428571,0.8846153846153846,0.8495575221238938,3,0.6500000000000004,CrossAttnGNN,SMOTE
0.9420787545787546,0.9029850746268657,0.8524590163934426,0.9285714285714286,0.8846153846153846,0.8888888888888888,4,0.5100000000000002,CrossAttnGNN,SMOTE
0.9182046024151287,0.8582089552238806,0.7878787878787878,0.9122807017543859,0.8181818181818182,0.8455284552845529,5,0.5200000000000002,CrossAttnGNN,SMOTE
